208	7	3	 DC 	 var
209	8	3	 DC 	 var
210	9	3	 DC 	 var
211	10	3	 DC 	 var
212	11	3	 DC 	 var
213	12	3	 DC 	 var
100	7	5	 DC 	 var
101	8	5	 DC 	 var
102	9	5	 DC 	 var
103	10	5	 DC 	 var
104	11	5	 DC 	 var
105	12	5	 DC 	 var
184	7	7	 DC 	 var
185	8	7	 DC 	 var
186	9	7	 DC 	 var
187	10	7	 DC 	 var
188	11	7	 DC 	 var
189	12	7	 DC 	 var
124	10	9	 DC 	 var
125	11	9	 DC 	 var
126	12	9	 DC 	 var
232	10	10	 DC 	 var
233	11	10	 DC 	 var
234	12	10	 DC 	 var
220	43	3	 DC 	 varL
221	44	3	 DC 	 varL
222	45	3	 DC 	 varL
223	46	3	 DC 	 varL
224	47	3	 DC 	 varL
225	48	3	 DC 	 varL
112	43	5	 DC 	 varL
113	44	5	 DC 	 varL
114	45	5	 DC 	 varL
115	46	5	 DC 	 varL
116	47	5	 DC 	 varL
117	48	5	 DC 	 varL
196	43	7	 DC 	 varL
197	44	7	 DC 	 varL
198	45	7	 DC 	 varL
199	46	7	 DC 	 varL
200	47	7	 DC 	 varL
201	48	7	 DC 	 varL
130	46	9	 DC 	 varL
131	47	9	 DC 	 varL
132	48	9	 DC 	 varL
238	46	10	 DC 	 varL
239	47	10	 DC 	 varL
240	48	10	 DC 	 varL
226	55	3	 DC 	 varLQ
227	56	3	 DC 	 varLQ
228	57	3	 DC 	 varLQ
229	58	3	 DC 	 varLQ
230	59	3	 DC 	 varLQ
231	60	3	 DC 	 varLQ
118	55	5	 DC 	 varLQ
119	56	5	 DC 	 varLQ
120	57	5	 DC 	 varLQ
121	58	5	 DC 	 varLQ
122	59	5	 DC 	 varLQ
123	60	5	 DC 	 varLQ
202	55	7	 DC 	 varLQ
203	56	7	 DC 	 varLQ
204	57	7	 DC 	 varLQ
205	58	7	 DC 	 varLQ
206	59	7	 DC 	 varLQ
207	60	7	 DC 	 varLQ
133	58	9	 DC 	 varLQ
134	59	9	 DC 	 varLQ
135	60	9	 DC 	 varLQ
241	58	10	 DC 	 varLQ
242	59	10	 DC 	 varLQ
243	60	10	 DC 	 varLQ
214	31	3	 DC 	 varQ
215	32	3	 DC 	 varQ
216	33	3	 DC 	 varQ
217	34	3	 DC 	 varQ
218	35	3	 DC 	 varQ
219	36	3	 DC 	 varQ
106	31	5	 DC 	 varQ
107	32	5	 DC 	 varQ
108	33	5	 DC 	 varQ
109	34	5	 DC 	 varQ
