AO208	7	3	 DC 	 var
AO209	8	3	 DC 	 var
AO210	9	3	 DC 	 var
AO211	10	3	 DC 	 var
AO212	11	3	 DC 	 var
AO213	12	3	 DC 	 var
AO100	7	5	 DC 	 var
AO101	8	5	 DC 	 var
AO102	9	5	 DC 	 var
AO103	10	5	 DC 	 var
AO104	11	5	 DC 	 var
AO105	12	5	 DC 	 var
AO184	7	7	 DC 	 var
AO185	8	7	 DC 	 var
AO186	9	7	 DC 	 var
AO187	10	7	 DC 	 var
AO188	11	7	 DC 	 var
AO189	12	7	 DC 	 var
AO124	10	9	 DC 	 var
AO125	11	9	 DC 	 var
AO126	12	9	 DC 	 var
AO232	10	10	 DC 	 var
AO233	11	10	 DC 	 var
AO234	12	10	 DC 	 var
AO220	43	3	 DC 	 varL
AO221	44	3	 DC 	 varL
AO222	45	3	 DC 	 varL
AO223	46	3	 DC 	 varL
AO224	47	3	 DC 	 varL
AO225	48	3	 DC 	 varL
AO112	43	5	 DC 	 varL
AO113	44	5	 DC 	 varL
AO114	45	5	 DC 	 varL
AO115	46	5	 DC 	 varL
AO116	47	5	 DC 	 varL
AO117	48	5	 DC 	 varL
AO196	43	7	 DC 	 varL
AO197	44	7	 DC 	 varL
AO198	45	7	 DC 	 varL
AO199	46	7	 DC 	 varL
AO200	47	7	 DC 	 varL
AO201	48	7	 DC 	 varL
AO130	46	9	 DC 	 varL
AO131	47	9	 DC 	 varL
AO132	48	9	 DC 	 varL
AO238	46	10	 DC 	 varL
AO239	47	10	 DC 	 varL
AO240	48	10	 DC 	 varL
AO226	55	3	 DC 	 varLQ
AO227	56	3	 DC 	 varLQ
AO228	57	3	 DC 	 varLQ
AO229	58	3	 DC 	 varLQ
AO230	59	3	 DC 	 varLQ
AO231	60	3	 DC 	 varLQ
AO118	55	5	 DC 	 varLQ
AO119	56	5	 DC 	 varLQ
AO120	57	5	 DC 	 varLQ
AO121	58	5	 DC 	 varLQ
AO122	59	5	 DC 	 varLQ
AO123	60	5	 DC 	 varLQ
AO202	55	7	 DC 	 varLQ
AO203	56	7	 DC 	 varLQ
AO204	57	7	 DC 	 varLQ
AO205	58	7	 DC 	 varLQ
AO206	59	7	 DC 	 varLQ
AO207	60	7	 DC 	 varLQ
AO133	58	9	 DC 	 varLQ
AO134	59	9	 DC 	 varLQ
AO135	60	9	 DC 	 varLQ
AO241	58	10	 DC 	 varLQ
AO242	59	10	 DC 	 varLQ
AO243	60	10	 DC 	 varLQ
AO214	31	3	 DC 	 varQ
AO215	32	3	 DC 	 varQ
AO216	33	3	 DC 	 varQ
AO217	34	3	 DC 	 varQ
AO218	35	3	 DC 	 varQ
AO219	36	3	 DC 	 varQ
AO106	31	5	 DC 	 varQ
AO107	32	5	 DC 	 varQ
AO108	33	5	 DC 	 varQ
AO109	34	5	 DC 	 varQ
AO110	35	5	 DC 	 varQ
AO111	36	5	 DC 	 varQ
AO190	31	7	 DC 	 varQ
AO191	32	7	 DC 	 varQ
AO192	33	7	 DC 	 varQ
AO193	34	7	 DC 	 varQ
AO194	35	7	 DC 	 varQ
AO195	36	7	 DC 	 varQ
AO127	34	9	 DC 	 varQ
AO128	35	9	 DC 	 varQ
AO129	36	9	 DC 	 varQ
AO235	34	10	 DC 	 varQ
AO236	35	10	 DC 	 varQ
AO237	36	10	 DC 	 varQ
AO256	25	1	 DI 	 var
AO257	26	1	 DI 	 var
AO258	27	1	 DI 	 var
AO259	28	1	 DI 	 var
AO260	29	1	 DI 	 var
AO261	30	1	 DI 	 var
AO088	25	3	 DI 	 var
AO089	26	3	 DI 	 var
AO090	27	3	 DI 	 var
AO091	28	3	 DI 	 var
AO092	29	3	 DI 	 var
AO093	30	3	 DI 	 var
AO172	25	5	 DI 	 var
AO173	26	5	 DI 	 var
AO174	27	5	 DI 	 var
AO175	28	5	 DI 	 var
AO176	29	5	 DI 	 var
AO177	30	5	 DI 	 var
AO142	28	7	 DI 	 var
AO143	29	7	 DI 	 var
AO144	30	7	 DI 	 var
AO282	28	9	 DI 	 var
AO283	29	9	 DI 	 var
AO284	30	9	 DI 	 var
AO244	1	1	 DI 	 varL
AO245	2	1	 DI 	 varL
AO246	3	1	 DI 	 varL
AO247	4	1	 DI 	 varL
AO248	5	1	 DI 	 varL
AO249	6	1	 DI 	 varL
AO076	1	3	 DI 	 varL
AO077	2	3	 DI 	 varL
AO078	3	3	 DI 	 varL
AO079	4	3	 DI 	 varL
AO080	5	3	 DI 	 varL
AO081	6	3	 DI 	 varL
AO160	1	5	 DI 	 varL
AO161	2	5	 DI 	 varL
AO162	3	5	 DI 	 varL
AO163	4	5	 DI 	 varL
AO164	5	5	 DI 	 varL
AO165	6	5	 DI 	 varL
AO136	4	7	 DI 	 varL
AO137	5	7	 DI 	 varL
AO138	6	7	 DI 	 varL
AO276	4	9	 DI 	 varL
AO277	5	9	 DI 	 varL
AO278	6	9	 DI 	 varL
AO250	13	1	 DI 	 varLQ
AO251	14	1	 DI 	 varLQ
AO252	15	1	 DI 	 varLQ
AO253	16	1	 DI 	 varLQ
AO254	17	1	 DI 	 varLQ
AO255	18	1	 DI 	 varLQ
AO082	13	3	 DI 	 varLQ
AO083	14	3	 DI 	 varLQ
AO084	15	3	 DI 	 varLQ
AO085	16	3	 DI 	 varLQ
AO086	17	3	 DI 	 varLQ
AO087	18	3	 DI 	 varLQ
AO166	13	5	 DI 	 varLQ
AO167	14	5	 DI 	 varLQ
AO168	15	5	 DI 	 varLQ
AO169	16	5	 DI 	 varLQ
AO170	17	5	 DI 	 varLQ
AO171	18	5	 DI 	 varLQ
AO139	16	7	 DI 	 varLQ
AO140	17	7	 DI 	 varLQ
AO141	18	7	 DI 	 varLQ
AO279	16	9	 DI 	 varLQ
AO280	17	9	 DI 	 varLQ
AO281	18	9	 DI 	 varLQ
AO262	49	1	 DI 	 varQ
AO263	50	1	 DI 	 varQ
AO264	51	1	 DI 	 varQ
AO265	52	1	 DI 	 varQ
AO266	53	1	 DI 	 varQ
AO267	54	1	 DI 	 varQ
AO094	49	3	 DI 	 varQ
AO095	50	3	 DI 	 varQ
AO096	51	3	 DI 	 varQ
AO097	52	3	 DI 	 varQ
AO098	53	3	 DI 	 varQ
AO099	54	3	 DI 	 varQ
AO178	49	5	 DI 	 varQ
AO179	50	5	 DI 	 varQ
AO180	51	5	 DI 	 varQ
AO181	52	5	 DI 	 varQ
AO182	53	5	 DI 	 varQ
AO183	54	5	 DI 	 varQ
AO145	52	7	 DI 	 varQ
AO146	53	7	 DI 	 varQ
AO147	54	7	 DI 	 varQ
AO285	52	9	 DI 	 varQ
AO286	53	9	 DI 	 varQ
AO287	54	9	 DI 	 varQ
